"","fn","ov_db","ov_dc","ov_de","threshold"
"235","1/as20000102.txt",0.782608695652174,0.521739130434783,0.282608695652174,0.007
"236","1/as20000102.txt",0.769230769230769,0.519230769230769,0.269230769230769,0.008
"237","1/as20000102.txt",0.76271186440678,0.508474576271186,0.254237288135593,0.009
"238","1/as20000102.txt",0.769230769230769,0.492307692307692,0.246153846153846,0.01
"239","1/as20000102.txt",0.853846153846154,0.453846153846154,0.176923076923077,0.02
"240","1/as20000102.txt",0.835897435897436,0.4,0.174358974358974,0.03
"241","1/as20000102.txt",0.826254826254826,0.393822393822394,0.166023166023166,0.04
"242","1/as20000102.txt",0.808641975308642,0.367283950617284,0.16358024691358,0.05
"243","1/as20000102.txt",0.802056555269923,0.347043701799486,0.161953727506427,0.06
"244","1/as20000102.txt",0.788546255506608,0.359030837004405,0.167400881057269,0.07
"245","1/as20000102.txt",0.777992277992278,0.335907335907336,0.17953667953668,0.08
"246","1/as20000102.txt",0.76843910806175,0.355060034305317,0.183533447684391,0.09
"247","1/as20000102.txt",0.759259259259259,0.354938271604938,0.188271604938272,0.1
"248","1/astro-ph.gml",0.705882352941177,0.705882352941177,0.823529411764706,0.001
"249","1/astro-ph.gml",0.588235294117647,0.588235294117647,0.558823529411765,0.002
"250","1/astro-ph.gml",0.568627450980392,0.686274509803922,0.450980392156863,0.003
"251","1/astro-ph.gml",0.582089552238806,0.671641791044776,0.402985074626866,0.004
"252","1/astro-ph.gml",0.523809523809524,0.630952380952381,0.452380952380952,0.005
"253","1/astro-ph.gml",0.524752475247525,0.613861386138614,0.445544554455446,0.006
"254","1/astro-ph.gml",0.495726495726496,0.623931623931624,0.487179487179487,0.007
"255","1/astro-ph.gml",0.462686567164179,0.604477611940298,0.529850746268657,0.008
"256","1/astro-ph.gml",0.463576158940397,0.622516556291391,0.52317880794702,0.009
"257","1/astro-ph.gml",0.488095238095238,0.636904761904762,0.505952380952381,0.01
"258","1/astro-ph.gml",0.483582089552239,0.614925373134328,0.540298507462687,0.02
"259","1/astro-ph.gml",0.50199203187251,0.641434262948207,0.527888446215139,0.03
"260","1/astro-ph.gml",0.500747384155456,0.665171898355755,0.557548579970105,0.04
"261","1/astro-ph.gml",0.511961722488038,0.631578947368421,0.584928229665072,0.05
"262","1/astro-ph.gml",0.515453639082752,0.633100697906281,0.602193419740778,0.06
"263","1/astro-ph.gml",0.511111111111111,0.617948717948718,0.576068376068376,0.07
"264","1/astro-ph.gml",0.516828721017203,0.614809274495138,0.572176514584891,0.08
"265","1/astro-ph.gml",0.517952127659574,0.623670212765957,0.575797872340426,0.09
"266","1/astro-ph.gml",0.521244763614602,0.638539796529024,0.609216038300419,0.1
"267","1/bo.dat.txt",0.5,0.5,0,0.001
"268","1/bo.dat.txt",0.75,0.5,0,0.002
"269","1/bo.dat.txt",0.666666666666667,0.5,0,0.003
"270","1/bo.dat.txt",0.875,0.375,0,0.004
"271","1/bo.dat.txt",0.8,0.4,0,0.005
"272","1/bo.dat.txt",0.916666666666667,0.333333333333333,0,0.006
"273","1/bo.dat.txt",0.785714285714286,0.285714285714286,0,0.007
"274","1/bo.dat.txt",0.733333333333333,0.333333333333333,0,0.008
"275","1/bo.dat.txt",0.647058823529412,0.294117647058824,0,0.009
"276","1/bo.dat.txt",0.578947368421053,0.315789473684211,0,0.01
"277","1/bo.dat.txt",0.578947368421053,0.263157894736842,0,0.02
"278","1/bo.dat.txt",0.56140350877193,0.350877192982456,0,0.03
"279","1/bo.dat.txt",0.586666666666667,0.373333333333333,0,0.04
"280","1/bo.dat.txt",0.659574468085106,0.372340425531915,0,0.05
"281","1/bo.dat.txt",0.654867256637168,0.371681415929204,0,0.06
"282","1/bo.dat.txt",0.679389312977099,0.404580152671756,0,0.07
"283","1/bo.dat.txt",0.7,0.453333333333333,0,0.08
"284","1/bo.dat.txt",0.674556213017751,0.449704142011834,0,0.09
"285","1/bo.dat.txt",0.679144385026738,0.486631016042781,0.0053475935828877,0.1
"286","1/CA-AstroPh.txt",0.473684210526316,0.842105263157895,0,0.001
"287","1/CA-AstroPh.txt",0.684210526315789,0.842105263157895,0,0.002
"288","1/CA-AstroPh.txt",0.631578947368421,0.807017543859649,0,0.003
"289","1/CA-AstroPh.txt",0.565789473684211,0.75,0,0.004
"290","1/CA-AstroPh.txt",0.542553191489362,0.776595744680851,0,0.005
"291","1/CA-AstroPh.txt",0.530973451327434,0.787610619469027,0,0.006
"292","1/CA-AstroPh.txt",0.515151515151515,0.795454545454545,0,0.007
"293","1/CA-AstroPh.txt",0.509933774834437,0.774834437086093,0,0.008
"294","1/CA-AstroPh.txt",0.514792899408284,0.745562130177515,0,0.009
"295","1/CA-AstroPh.txt",0.48936170212766,0.734042553191489,0,0.01
"296","1/CA-AstroPh.txt",0.523936170212766,0.763297872340426,0,0.02
"297","1/CA-AstroPh.txt",0.533687943262411,0.767730496453901,0,0.03
"298","1/CA-AstroPh.txt",0.55392809587217,0.757656458055925,0,0.04
"299","1/CA-AstroPh.txt",0.550585729499467,0.75825346112886,0,0.05
"300","1/CA-AstroPh.txt",0.56433007985803,0.751552795031056,0,0.06
"301","1/CA-AstroPh.txt",0.571102661596958,0.74828897338403,0,0.07
"302","1/CA-AstroPh.txt",0.589214380825566,0.75832223701731,0,0.08
"303","1/CA-AstroPh.txt",0.602958579881657,0.763905325443787,0,0.09
"304","1/CA-AstroPh.txt",0.613418530351438,0.77209797657082,0,0.1
"305","1/CA-CondMat.txt",0.5,0.541666666666667,0.333333333333333,0.001
"306","1/CA-CondMat.txt",0.51063829787234,0.51063829787234,0.382978723404255,0.002
"307","1/CA-CondMat.txt",0.557142857142857,0.485714285714286,0.414285714285714,0.003
"308","1/CA-CondMat.txt",0.591397849462366,0.537634408602151,0.419354838709677,0.004
"309","1/CA-CondMat.txt",0.603448275862069,0.594827586206897,0.413793103448276,0.005
"310","1/CA-CondMat.txt",0.589928057553957,0.640287769784173,0.41726618705036,0.006
"311","1/CA-CondMat.txt",0.604938271604938,0.666666666666667,0.450617283950617,0.007
"312","1/CA-CondMat.txt",0.60752688172043,0.661290322580645,0.446236559139785,0.008
"313","1/CA-CondMat.txt",0.588516746411483,0.631578947368421,0.454545454545455,0.009
"314","1/CA-CondMat.txt",0.603448275862069,0.637931034482759,0.452586206896552,0.01
"315","1/CA-CondMat.txt",0.613390928725702,0.591792656587473,0.49244060475162,0.02
"316","1/CA-CondMat.txt",0.636887608069164,0.597982708933718,0.494236311239193,0.03
"317","1/CA-CondMat.txt",0.631749460043197,0.595032397408207,0.497840172786177,0.04
"318","1/CA-CondMat.txt",0.641313742437338,0.598962834917891,0.49438202247191,0.05
"319","1/CA-CondMat.txt",0.652017291066282,0.601585014409222,0.502881844380404,0.06
"320","1/CA-CondMat.txt",0.660493827160494,0.619753086419753,0.504320987654321,0.07
"321","1/CA-CondMat.txt",0.670448406266883,0.628309022150189,0.51269584008644,0.08
"322","1/CA-CondMat.txt",0.666666666666667,0.634005763688761,0.518731988472622,0.09
"323","1/CA-CondMat.txt",0.665082108902334,0.636560069144339,0.52895419187554,0.1
"324","1/CA-GrQc.txt",0,0.166666666666667,0.5,0.001
"325","1/CA-GrQc.txt",0.0909090909090909,0.363636363636364,0.545454545454545,0.002
"326","1/CA-GrQc.txt",0.0625,0.3125,0.9375,0.003
"327","1/CA-GrQc.txt",0.0476190476190476,0.333333333333333,0.857142857142857,0.004
"328","1/CA-GrQc.txt",0.037037037037037,0.296296296296296,0.851851851851852,0.005
"329","1/CA-GrQc.txt",0.0625,0.28125,0.90625,0.006
"330","1/CA-GrQc.txt",0.108108108108108,0.351351351351351,0.864864864864865,0.007
"331","1/CA-GrQc.txt",0.142857142857143,0.404761904761905,0.857142857142857,0.008
"332","1/CA-GrQc.txt",0.125,0.395833333333333,0.916666666666667,0.009
"333","1/CA-GrQc.txt",0.132075471698113,0.433962264150943,0.886792452830189,0.01
"334","1/CA-GrQc.txt",0.171428571428571,0.485714285714286,0.447619047619048,0.02
"335","1/CA-GrQc.txt",0.259493670886076,0.449367088607595,0.354430379746835,0.03
"336","1/CA-GrQc.txt",0.323809523809524,0.428571428571429,0.319047619047619,0.04
"337","1/CA-GrQc.txt",0.372623574144487,0.460076045627376,0.304182509505703,0.05
"338","1/CA-GrQc.txt",0.419047619047619,0.453968253968254,0.307936507936508,0.06
"339","1/CA-GrQc.txt",0.4141689373297,0.457765667574932,0.337874659400545,0.07
"340","1/CA-GrQc.txt",0.45952380952381,0.461904761904762,0.345238095238095,0.08
"341","1/CA-GrQc.txt",0.455508474576271,0.459745762711864,0.372881355932203,0.09
"342","1/CA-GrQc.txt",0.485714285714286,0.474285714285714,0.39047619047619,0.1
"343","1/CA-HepPh.txt",0,0.615384615384615,0,0.001
"344","1/CA-HepPh.txt",0.04,0.76,0,0.002
"345","1/CA-HepPh.txt",0.135135135135135,0.702702702702703,0,0.003
"346","1/CA-HepPh.txt",0.163265306122449,0.775510204081633,0,0.004
"347","1/CA-HepPh.txt",0.180327868852459,0.786885245901639,0,0.005
"348","1/CA-HepPh.txt",0.232876712328767,0.794520547945205,0,0.006
"349","1/CA-HepPh.txt",0.270588235294118,0.835294117647059,0,0.007
"350","1/CA-HepPh.txt",0.268041237113402,0.845360824742268,0,0.008
"351","1/CA-HepPh.txt",0.238532110091743,0.871559633027523,0,0.009
"352","1/CA-HepPh.txt",0.264462809917355,0.87603305785124,0,0.01
"353","1/CA-HepPh.txt",0.261410788381743,0.950207468879668,0,0.02
"354","1/CA-HepPh.txt",0.371191135734072,0.908587257617729,0,0.03
"355","1/CA-HepPh.txt",0.399168399168399,0.83991683991684,0,0.04
"356","1/CA-HepPh.txt",0.381031613976705,0.815307820299501,0,0.05
"357","1/CA-HepPh.txt",0.371705963938974,0.87378640776699,0,0.06
"358","1/CA-HepPh.txt",0.380499405469679,0.851367419738407,0,0.07
"359","1/CA-HepPh.txt",0.393340270551509,0.852237252861602,0,0.08
"360","1/CA-HepPh.txt",0.408880666049954,0.808510638297872,0,0.09
"361","1/CA-HepPh.txt",0.403830141548709,0.805162364696087,0,0.1
"362","1/CA-HepTh.txt",0.5,0.3,0,0.001
"363","1/CA-HepTh.txt",0.35,0.5,0.05,0.002
"364","1/CA-HepTh.txt",0.433333333333333,0.7,0.0333333333333333,0.003
"365","1/CA-HepTh.txt",0.5,0.7,0.025,0.004
"366","1/CA-HepTh.txt",0.56,0.66,0.04,0.005
"367","1/CA-HepTh.txt",0.55,0.683333333333333,0.05,0.006
"368","1/CA-HepTh.txt",0.542857142857143,0.642857142857143,0.0714285714285714,0.007
"369","1/CA-HepTh.txt",0.575,0.625,0.0875,0.008
"370","1/CA-HepTh.txt",0.584269662921348,0.651685393258427,0.112359550561798,0.009
"371","1/CA-HepTh.txt",0.595959595959596,0.646464646464647,0.141414141414141,0.01
"372","1/CA-HepTh.txt",0.575757575757576,0.606060606060606,0.272727272727273,0.02
"373","1/CA-HepTh.txt",0.599326599326599,0.599326599326599,0.31986531986532,0.03
"374","1/CA-HepTh.txt",0.595959595959596,0.565656565656566,0.361111111111111,0.04
"375","1/CA-HepTh.txt",0.635627530364372,0.593117408906883,0.396761133603239,0.05
"376","1/CA-HepTh.txt",0.647554806070826,0.600337268128162,0.406408094435076,0.06
"377","1/CA-HepTh.txt",0.673410404624277,0.615606936416185,0.417630057803468,0.07
"378","1/CA-HepTh.txt",0.676359039190898,0.629582806573957,0.433628318584071,0.08
"379","1/CA-HepTh.txt",0.686164229471316,0.646794150731159,0.438695163104612,0.09
"380","1/CA-HepTh.txt",0.69331983805668,0.65080971659919,0.447368421052632,0.1
"381","1/cAA.dat.gz.txt",1,0.5,0,0.001
"382","1/cAA.dat.gz.txt",0.666666666666667,0.333333333333333,0,0.002
"383","1/cAA.dat.gz.txt",0.75,0.5,0,0.003
"384","1/cAA.dat.gz.txt",1,0.4,0,0.004
"385","1/cAA.dat.gz.txt",1,0.5,0,0.005
"386","1/cAA.dat.gz.txt",0.857142857142857,0.428571428571429,0,0.006
"387","1/cAA.dat.gz.txt",0.875,0.375,0,0.007
"388","1/cAA.dat.gz.txt",0.888888888888889,0.333333333333333,0,0.008
"389","1/cAA.dat.gz.txt",0.9,0.3,0,0.009
"390","1/cAA.dat.gz.txt",0.909090909090909,0.272727272727273,0,0.01
"391","1/cAA.dat.gz.txt",0.727272727272727,0.318181818181818,0,0.02
"392","1/cAA.dat.gz.txt",0.59375,0.25,0,0.03
"393","1/cAA.dat.gz.txt",0.558139534883721,0.209302325581395,0,0.04
"394","1/cAA.dat.gz.txt",0.547169811320755,0.245283018867925,0.0754716981132075,0.05
"395","1/cAA.dat.gz.txt",0.5,0.203125,0.0625,0.06
"396","1/cAA.dat.gz.txt",0.459459459459459,0.202702702702703,0.0810810810810811,0.07
"397","1/cAA.dat.gz.txt",0.411764705882353,0.2,0.0705882352941176,0.08
"398","1/cAA.dat.gz.txt",0.385416666666667,0.197916666666667,0.0625,0.09
"399","1/cAA.dat.gz.txt",0.415094339622642,0.245283018867925,0.0754716981132075,0.1
"400","1/cBB.dat.gz.txt",0,1,0,0.001
"401","1/cBB.dat.gz.txt",0,1,0,0.002
"402","1/cBB.dat.gz.txt",0.5,0.5,0,0.003
"403","1/cBB.dat.gz.txt",0.5,0.5,0,0.004
"404","1/cBB.dat.gz.txt",1,0.666666666666667,0,0.005
"405","1/cBB.dat.gz.txt",1,0.666666666666667,0,0.006
"406","1/cBB.dat.gz.txt",1,0.666666666666667,0,0.007
"407","1/cBB.dat.gz.txt",1,0.5,0,0.008
"408","1/cBB.dat.gz.txt",1,0.5,0,0.009
"409","1/cBB.dat.gz.txt",1,0.6,0,0.01
"410","1/cBB.dat.gz.txt",0.666666666666667,0.333333333333333,0,0.02
"411","1/cBB.dat.gz.txt",0.615384615384615,0.307692307692308,0,0.03
"412","1/cBB.dat.gz.txt",0.588235294117647,0.235294117647059,0,0.04
"413","1/cBB.dat.gz.txt",0.523809523809524,0.238095238095238,0,0.05
"414","1/cBB.dat.gz.txt",0.64,0.32,0,0.06
"415","1/cBB.dat.gz.txt",0.586206896551724,0.379310344827586,0,0.07
"416","1/cBB.dat.gz.txt",0.515151515151515,0.363636363636364,0.0303030303030303,0.08
"417","1/cBB.dat.gz.txt",0.513513513513513,0.351351351351351,0.027027027027027,0.09
"418","1/cBB.dat.gz.txt",0.536585365853659,0.365853658536585,0.0731707317073171,0.1
"419","1/cCA.dat.gz.txt",1,1,0,0.001
"420","1/cCA.dat.gz.txt",0.666666666666667,0.666666666666667,0,0.002
"421","1/cCA.dat.gz.txt",1,0.5,0,0.003
"422","1/cCA.dat.gz.txt",1,0.5,0,0.004
"423","1/cCA.dat.gz.txt",1,0.428571428571429,0,0.005
"424","1/cCA.dat.gz.txt",0.875,0.375,0,0.006
"425","1/cCA.dat.gz.txt",0.8,0.3,0,0.007
"426","1/cCA.dat.gz.txt",0.909090909090909,0.272727272727273,0,0.008
"427","1/cCA.dat.gz.txt",0.916666666666667,0.25,0,0.009
"428","1/cCA.dat.gz.txt",0.928571428571429,0.285714285714286,0,0.01
"429","1/cCA.dat.gz.txt",0.703703703703704,0.333333333333333,0,0.02
"430","1/cCA.dat.gz.txt",0.575,0.25,0,0.03
"431","1/cCA.dat.gz.txt",0.490566037735849,0.188679245283019,0,0.04
"432","1/cCA.dat.gz.txt",0.46969696969697,0.166666666666667,0,0.05
"433","1/cCA.dat.gz.txt",0.468354430379747,0.20253164556962,0,0.06
"434","1/cCA.dat.gz.txt",0.456521739130435,0.184782608695652,0,0.07
"435","1/cCA.dat.gz.txt",0.438095238095238,0.2,0.00952380952380952,0.08
"436","1/cCA.dat.gz.txt",0.415254237288136,0.203389830508475,0.00847457627118644,0.09
"437","1/cCA.dat.gz.txt",0.412213740458015,0.244274809160305,0.00763358778625954,0.1
"438","1/celegansneural.gml",1,1,0,0.001
"439","1/celegansneural.gml",1,1,0,0.002
"440","1/celegansneural.gml",1,1,0,0.003
"441","1/celegansneural.gml",1,1,0.5,0.004
"442","1/celegansneural.gml",1,1,0.5,0.005
"443","1/celegansneural.gml",1,1,0.5,0.006
"444","1/celegansneural.gml",1,1,1,0.007
"445","1/celegansneural.gml",1,1,1,0.008
"446","1/celegansneural.gml",1,1,1,0.009
"447","1/celegansneural.gml",1,1,1,0.01
"448","1/celegansneural.gml",0.666666666666667,0.833333333333333,0.833333333333333,0.02
"449","1/celegansneural.gml",0.666666666666667,0.777777777777778,0.777777777777778,0.03
"450","1/celegansneural.gml",0.833333333333333,0.666666666666667,1,0.04
"451","1/celegansneural.gml",0.866666666666667,0.6,0.8,0.05
"452","1/celegansneural.gml",0.888888888888889,0.555555555555556,0.722222222222222,0.06
"453","1/celegansneural.gml",0.904761904761905,0.619047619047619,0.666666666666667,0.07
"454","1/celegansneural.gml",0.833333333333333,0.666666666666667,0.708333333333333,0.08
"455","1/celegansneural.gml",0.851851851851852,0.62962962962963,0.703703703703704,0.09
"456","1/celegansneural.gml",0.833333333333333,0.7,0.7,0.1
"457","2/com-amazon.ungraph.txt",0.402985074626866,0.2,NA,0.001
"458","2/com-amazon.ungraph.txt",0.386567164179104,0.173134328358209,NA,0.002
"459","2/com-amazon.ungraph.txt",0.402985074626866,0.156218905472637,NA,0.003
"460","2/com-amazon.ungraph.txt",0.394029850746269,0.148507462686567,NA,0.004
"461","2/com-amazon.ungraph.txt",0.400597014925373,0.142089552238806,NA,0.005
"462","2/com-amazon.ungraph.txt",0.399004975124378,0.133830845771144,NA,0.006
"463","2/com-amazon.ungraph.txt",0.4,0.134754797441365,NA,0.007
"464","2/com-amazon.ungraph.txt",0.393430384471818,0.132138857782755,NA,0.008
"465","2/com-amazon.ungraph.txt",0.389847378898474,0.130723291307233,NA,0.009
"466","2/com-amazon.ungraph.txt",0.388772767990445,0.131681098835473,NA,0.01
"467","2/com-amazon.ungraph.txt",0.398925052254404,0.144670050761421,NA,0.02
"468","2/com-amazon.ungraph.txt",0.403643241090981,0.155783396376667,NA,0.03
"469","2/com-amazon.ungraph.txt",0.403807390817469,0.166629339305711,NA,0.04
"470","2/com-amazon.ungraph.txt",0.407130912565695,0.175406115623507,NA,0.05
"471","2/com-amazon.ungraph.txt",0.413896078041011,0.182410909814852,NA,0.06
"472","2/com-amazon.ungraph.txt",0.419819973550616,0.189625015997611,NA,0.07
"473","2/com-amazon.ungraph.txt",0.424972004479283,0.196491228070175,NA,0.08
"474","2/com-amazon.ungraph.txt",0.431548211560157,0.203065896874378,NA,0.09
"475","2/com-amazon.ungraph.txt",0.437005405082569,0.210947531878042,NA,0.1
"476","2/com-dblp.ungraph.txt",0.471698113207547,0.405660377358491,0,0.001
"477","2/com-dblp.ungraph.txt",0.525984251968504,0.415748031496063,0,0.002
"478","2/com-dblp.ungraph.txt",0.596638655462185,0.465336134453782,0,0.003
"479","2/com-dblp.ungraph.txt",0.641449960598897,0.490149724192277,0,0.004
"480","2/com-dblp.ungraph.txt",0.652585119798235,0.508196721311475,0,0.005
"481","2/com-dblp.ungraph.txt",0.652653704676826,0.517603783499737,0,0.006
"482","2/com-dblp.ungraph.txt",0.661711711711712,0.523873873873874,0,0.007
"483","2/com-dblp.ungraph.txt",0.665746945210879,0.530153724871896,0,0.008
"484","2/com-dblp.ungraph.txt",0.666433076384022,0.533637000700771,0,0.009
"485","2/com-dblp.ungraph.txt",0.67675812046673,0.54241564175339,0,0.01
"486","2/com-dblp.ungraph.txt",0.700094607379376,0.568274992116052,0,0.02
"487","2/com-dblp.ungraph.txt",0.696730789446021,0.554504362451382,0,0.03
"488","2/com-dblp.ungraph.txt",0.700252286345002,0.547697887101861,0,0.04
"489","2/com-dblp.ungraph.txt",0.696480383499432,0.540999116942097,0,0.05
"490","2/com-dblp.ungraph.txt",0.690670170827858,0.537030223390276,5.25624178712221e-05,0.06
"491","2/com-dblp.ungraph.txt",0.687556316453415,0.535591998558299,0.000405478464588214,0.07
"492","2/com-dblp.ungraph.txt",0.685339220246777,0.538179524579178,0.00102495367997792,0.08
"493","2/com-dblp.ungraph.txt",0.685997617212138,0.539771532693251,0.00213750087602495,0.09
"494","2/com-dblp.ungraph.txt",0.689605146966065,0.540242210167781,0.00321685379084143,0.1
"495","1/cond-mat-2005.gml",0.48780487804878,0.634146341463415,0,0.001
"496","1/cond-mat-2005.gml",0.54320987654321,0.62962962962963,0,0.002
"497","1/cond-mat-2005.gml",0.524590163934426,0.688524590163934,0,0.003
"498","1/cond-mat-2005.gml",0.506172839506173,0.691358024691358,0,0.004
"499","1/cond-mat-2005.gml",0.527093596059113,0.684729064039409,0,0.005
"500","1/cond-mat-2005.gml",0.522633744855967,0.679012345679012,0,0.006
"501","1/cond-mat-2005.gml",0.53356890459364,0.692579505300353,0,0.007
"502","1/cond-mat-2005.gml",0.530864197530864,0.691358024691358,0,0.008
"503","1/cond-mat-2005.gml",0.532967032967033,0.686813186813187,0,0.009
"504","1/cond-mat-2005.gml",0.538271604938272,0.688888888888889,0,0.01
"505","1/cond-mat-2005.gml",0.558714462299135,0.674907292954265,0,0.02
"506","1/cond-mat-2005.gml",0.596042868920033,0.685902720527617,0,0.03
"507","1/cond-mat-2005.gml",0.602350030921459,0.687074829931973,0,0.04
"508","1/cond-mat-2005.gml",0.619683481701286,0.679525222551929,0,0.05
